place_id,review-ID,total_stars,text,food_rating,service_rating,atmosphere_rating
ChIJceaYPzmpQjQRlc1-wYpELkw,Ci9DQUlRQUNvZENodHljRjlvT25kRFJXTnpTMnBRY0VwNVh6QTNUM04xWmw5Q1MyYxAB,5.0,第一次買就愛上，配料新鮮、味道很穩，會回購。,5.0,5.0,5.0
ChIJceaYPzmpQjQRlc1-wYpELkw,Ci9DQUlRQUNvZENodHljRjlvT2xwRGVsZ3pTMHBzWjBOalgwSmZVRFZ3YVRZeWJYYxAB,5.0,"超級好吃😋

強烈推薦👍",5.0,5.0,5.0
ChIJceaYPzmpQjQRlc1-wYpELkw,Ci9DQUlRQUNvZENodHljRjlvT2swdE9VaFRkbGM0VVdKTkxWOHdTM1pEY2pCd1pXYxAB,5.0,醬汁超香！麵Q又涮嘴，完全是我最愛的涼麵口味。,5.0,5.0,5.0
ChIJceaYPzmpQjQRlc1-wYpELkw,Ci9DQUlRQUNvZENodHljRjlvT2tKTVFXdENOVEZ3YzFwU1JXbFZUM2cxYTBjNFlXYxAB,4.0,,4.0,3.0,2.0
ChIJceaYPzmpQjQRlc1-wYpELkw,Ci9DQUlRQUNvZENodHljRjlvT2tFeFdubEphREIwUldJMmRYZFdhekExYVVzMk5tYxAB,5.0,,,,
ChIJceaYPzmpQjQRlc1-wYpELkw,Ci9DQUlRQUNvZENodHljRjlvT21keGQyaHlWM2xXVjJwbmVXbHhZVXA0UkZSdk9GRRAB,5.0,"公司活動訂100份涼麵和味噌蛋湯
第一次吃，覺得不錯，下次去店裡吃看看其他口味。",5.0,5.0,3.0
ChIJceaYPzmpQjQRlc1-wYpELkw,Ci9DQUlRQUNvZENodHljRjlvT210T1lrdzJWMGx4YVdreGVXYzFZV3hTVDJ4a1YyYxAB,5.0,"每次跟朋友來都有營業
24小時的店家很少見
涼麵一定要加點辣味道層次會不一樣，他們辣椒很辣，愛吃辣的會喜歡",5.0,5.0,5.0
ChIJceaYPzmpQjQRlc1-wYpELkw,Ci9DQUlRQUNvZENodHljRjlvT2t0S2FFMUpTMmwwYVhNNFJXTXpSWEppVkhBMWNGRRAB,5.0,涼麵口味和小菜選擇多，配味噌湯三合一超讚的！,,,
ChIJceaYPzmpQjQRlc1-wYpELkw,Ci9DQUlRQUNvZENodHljRjlvT21oRllUTXljbWgwWms5cFZGbExWRVZaUVUxelUyYxAB,2.0,"我叫外送台式涼麵、紫菜湯加蛋還有皮蛋豆腐
第一次吃這麼沒味道的涼麵 醬跟麵完全沒味道 還好家裡有泡菜 不然真的吃不下去 湯就普普通通 最好吃的可能就是皮蛋豆腐的醬油膏了",1.0,,
ChIJceaYPzmpQjQRlc1-wYpELkw,Ci9DQUlRQUNvZENodHljRjlvT2pCeFFVTlhPRXRqTWxZeWVWODFTbGhDVm1Nd1dWRRAB,3.0,,,,
ChIJceaYPzmpQjQRlc1-wYpELkw,Ci9DQUlRQUNvZENodHljRjlvT2pjdFFtSlZaVGhxUzFRMk9XcElTMHRtU0VNNFVVRRAB,5.0,,5.0,5.0,5.0
ChIJceaYPzmpQjQRlc1-wYpELkw,Ci9DQUlRQUNvZENodHljRjlvT2tkRE5qQTNZazVTWlU1RVlYVkZkbE14YTFad1NXYxAB,2.0,,,,
ChIJceaYPzmpQjQRlc1-wYpELkw,Ci9DQUlRQUNvZENodHljRjlvT20xMlpUQlRjbTAyVUdoWFdtSllSRU0xY2xwUlJtYxAB,1.0,不懂為什麼會讓這種店家繼續營業…叫外送吃到得腸胃炎，發燒+嚴重腹瀉+全身虛弱,1.0,1.0,1.0
ChIJceaYPzmpQjQRlc1-wYpELkw,Ci9DQUlRQUNvZENodHljRjlvT2tadGFXTTVWMk5WVjBwNlEyVjNRVlZvVkc1cFFWRRAB,1.0,,,,
ChIJceaYPzmpQjQRlc1-wYpELkw,Ci9DQUlRQUNvZENodHljRjlvT2pFMlZFZ3haRXQ1VGxOMlVXUkxVWGQxZDNoTFVsRRAB,1.0,他不是鍋燒麵。若不是鍋燒麵，請不要標為鍋燒麵連個烏龍麵都不是。,1.0,5.0,5.0
ChIJceaYPzmpQjQRlc1-wYpELkw,Ci9DQUlRQUNvZENodHljRjlvT21wNmVVSnpZWEJWYTNCWGEzZFVRMmwyVWpGWGFWRRAB,5.0,"皮蛋板豆腐
不能只有我吃🤣 …",,,
ChIJceaYPzmpQjQRlc1-wYpELkw,Ci9DQUlRQUNvZENodHljRjlvT2twQ04wZHJNRWRKYUc5aGNGTjJhWGxZV25aMGVuYxAB,1.0,態度差，吃完一整天拉肚子，已向1999投訴,1.0,1.0,1.0
ChIJceaYPzmpQjQRlc1-wYpELkw,Ci9DQUlRQUNvZENodHljRjlvT25NNWJsTTVSelJFWkhaa1JHSlJXbW95T0ZOTVNHYxAB,4.0,他家的辣會辣，我喜歡,,,
ChIJceaYPzmpQjQRlc1-wYpELkw,Ci9DQUlRQUNvZENodHljRjlvT2t0S2JXZFlVa0ZRT0hNd2JEUmliWEpuUWkxb2VrRRAB,5.0,"好吃的涼麵
有日式醬油
台式麻醬
泰式酸辣",,,
ChIJceaYPzmpQjQRlc1-wYpELkw,Ci9DQUlRQUNvZENodHljRjlvT25WU1owWklVMGRIUTJVNWFqZHllR055WkZJemEwRRAB,5.0,"～良夜吉時·宵夜首選～
還有許多涼麵、味噌湯三合一",5.0,5.0,4.0
ChIJceaYPzmpQjQRlc1-wYpELkw,Ci9DQUlRQUNvZENodHljRjlvT25WcmFsSkRRbTlOVUhwMU9UbHpRVnBHV1cxYUxYYxAB,5.0,不錯吃可惜味噌湯沒海帶芽,5.0,5.0,5.0
ChIJceaYPzmpQjQRlc1-wYpELkw,Ci9DQUlRQUNvZENodHljRjlvT21kM1R6aDVXalZGUTNNd1l6ZDRjRlZKUkc1dlFVRRAB,4.0,"24小時～隨時能吃～太方便啦
老闆醬汁給得很大方哦～
湯也好喝
但～不是很便宜^o^這物價越來越高啦～",4.0,5.0,5.0
ChIJceaYPzmpQjQRlc1-wYpELkw,Ci9DQUlRQUNvZENodHljRjlvT2pSZlRERktSR3RQVEVGMWFWWlhTVzU0YWpGNlIyYxAB,1.0,"湯的料蠻少的 豆腐只撈到碎碎的幾小塊
也沒有看到任何柴魚片
蔥貴可以理解 但至少放一些吧 很單調
涼麵的麵體好像都放在外常溫下
後來吃了回去都肚子痛腹瀉",,,
ChIJceaYPzmpQjQRlc1-wYpELkw,Ci9DQUlRQUNvZENodHljRjlvT2tzMldIaGlRWFJwUm5GTWVXNVdOVVF6VkVkR1JIYxAB,1.0,一碗75塊的涼麵 在店裡吃想說這間的台式涼麵怎麼那麼特別酸酸的，結果拉肚子這種店是怎麼生存下去的…,1.0,1.0,1.0
ChIJceaYPzmpQjQRlc1-wYpELkw,Ci9DQUlRQUNvZENodHljRjlvT25Wb1MxQTRSMU5qT1VwU2NIRklUMnRPTnpsTVdsRRAB,1.0,吃完狂拉肚子 肚子超痛 衛生堪憂 千萬不要去吃,1.0,1.0,1.0
ChIJceaYPzmpQjQRlc1-wYpELkw,Ci9DQUlRQUNvZENodHljRjlvT2xsMmJEQTBMVFJ3YW1jelUxSkJjMHBFV0RWck1GRRAB,1.0,點了碗紫菜蛋花湯，喝到鋼絲菜瓜布的鐵絲…,,,
ChIJceaYPzmpQjQRlc1-wYpELkw,Ci9DQUlRQUNvZENodHljRjlvT2xReFdVSjJja1pCV1cxRlgyMW5ZakY2VUhGNFVFRRAB,5.0,,,,
ChIJceaYPzmpQjQRlc1-wYpELkw,ChZDSUhNMG9nS0VJQ0FnSURDNVkzTklBEAE,5.0,蘆洲24h涼麵，好吃。,5.0,5.0,5.0
ChIJceaYPzmpQjQRlc1-wYpELkw,Ci9DQUlRQUNvZENodHljRjlvT21GcmRGbFlTbEpEWm1kT1gzSnBiRGRxWm1kamJVRRAB,5.0,,,,
ChIJceaYPzmpQjQRlc1-wYpELkw,ChZDSUhNMG9nS0VJQ0FnSURqbk9xNk9nEAE,5.0,宵夜好去處,,,
ChIJceaYPzmpQjQRlc1-wYpELkw,Ci9DQUlRQUNvZENodHljRjlvT21OYVRIazFiVzU0V0dabk0zTktWbE5oTmpKa09WRRAB,1.0,吃完榨菜肉絲涼麵 連續拉兩天 你們味生有待加強,1.0,1.0,1.0
ChIJceaYPzmpQjQRlc1-wYpELkw,Ci9DQUlRQUNvZENodHljRjlvT2paNkxVRjJVbFZYYzFoMFZIcFBaMGR0Tlc5TU4xRRAB,2.0,現場吃不知道口感如何，但外送的涼麵真的很難吃，紫菜蛋花湯也很不行。,1.0,3.0,3.0
